Node,transmit,transmit_failed_power,received,received_failed_power,received_failed_loss
       1,       1,       0,     589,       0,     417
       2,      16,       0,       1,       0,       0
       3,      16,       0,       0,       0,       1
       4,       0,      16,       0,       1,       0
       5,       7,       9,       0,       1,       0
       6,       0,      16,       0,       1,       0
       7,      16,       0,       0,       0,       1
       8,      16,       0,       1,       0,       0
       9,       0,      16,       0,       1,       0
      10,       6,      10,       1,       0,       0
      11,      16,       0,       0,       0,       1
      12,      16,       0,       1,       0,       0
      13,      16,       0,       1,       0,       0
      14,      16,       0,       1,       0,       0
      15,       0,      16,       0,       1,       0
      16,      16,       0,       0,       0,       1
      17,       0,      16,       0,       1,       0
      18,      16,       0,       1,       0,       0
      19,      16,       0,       1,       0,       0
      20,       0,      16,       0,       1,       0
      21,      16,       0,       0,       0,       1
      22,      16,       0,       1,       0,       0
      23,      16,       0,       1,       0,       0
      24,       0,      16,       0,       1,       0
      25,       0,      16,       0,       1,       0
      26,       0,      16,       0,       1,       0
      27,      16,       0,       0,       0,       1
      28,      16,       0,       0,       0,       1
      29,       0,      16,       0,       1,       0
      30,      16,       0,       1,       0,       0
      31,       0,      16,       0,       1,       0
      32,      16,       0,       1,       0,       0
      33,      16,       0,       1,       0,       0
      34,      16,       0,       1,       0,       0
      35,      16,       0,       0,       0,       1
      36,      16,       0,       1,       0,       0
      37,      16,       0,       0,       0,       1
      38,      16,       0,       1,       0,       0
      39,      16,       0,       0,       0,       1
      40,       0,      16,       0,       1,       0
      41,       0,      16,       0,       1,       0
      42,      16,       0,       1,       0,       0
      43,      16,       0,       0,       0,       1
      44,      16,       0,       1,       0,       0
      45,      16,       0,       1,       0,       0
      46,      16,       0,       0,       0,       1
      47,      16,       0,       1,       0,       0
      48,       0,      16,       0,       1,       0
      49,      16,       0,       0,       0,       1
      50,      16,       0,       1,       0,       0
      51,       0,      16,       0,       1,       0
      52,      16,       0,       1,       0,       0
      53,      16,       0,       1,       0,       0
      54,      16,       0,       1,       0,       0
      55,      16,       0,       1,       0,       0
      56,      16,       0,       1,       0,       0
      57,      16,       0,       1,       0,       0
      58,       0,      16,       0,       1,       0
      59,       0,      16,       0,       1,       0
      60,       0,      16,       0,       1,       0
      61,      16,       0,       1,       0,       0
      62,      16,       0,       0,       0,       1
      63,      16,       0,       1,       0,       0
      64,       0,      16,       0,       1,       0
      65,      16,       0,       1,       0,       0
      66,      16,       0,       0,       0,       1
      67,      16,       0,       1,       0,       0
      68,       0,      16,       0,       1,       0
      69,      16,       0,       1,       0,       0
      70,      16,       0,       0,       0,       1
      71,       0,      16,       0,       1,       0
      72,      16,       0,       0,       0,       1
      73,      16,       0,       0,       0,       1
      74,      16,       0,       1,       0,       0
      75,      16,       0,       0,       0,       1
      76,      16,       0,       1,       0,       0
      77,      16,       0,       0,       0,       1
      78,      16,       0,       1,       0,       0
      79,      16,       0,       1,       0,       0
      80,       0,      16,       0,       1,       0
      81,      16,       0,       1,       0,       0
      82,      16,       0,       1,       0,       0
      83,      16,       0,       1,       0,       0
      84,       0,      16,       0,       1,       0
      85,      16,       0,       1,       0,       0
      86,      16,       0,       0,       0,       1
      87,      16,       0,       1,       0,       0
      88,       0,      16,       0,       1,       0
      89,       0,      16,       0,       1,       0
      90,      16,       0,       1,       0,       0
      91,       0,      16,       0,       1,       0
