Nodes	Energy (mJ)
2.0	1251.73203788
3.0	1718.01190068
4.0	846.749031187
5.0	2160.702185
6.0	1912.72906338
7.0	1335.71175347
8.0	589.610471994
9.0	1703.27671107
10.0	1513.87413318
11.0	2118.94624697
12.0	574.094968955
13.0	500.79250765
14.0	938.690377921
15.0	907.407143446
16.0	2160.27902487
17.0	1535.15447791
18.0	1319.18079267
19.0	544.271683747
20.0	760.183251023
21.0	1507.77213648
22.0	1960.66239249
23.0	1650.96173346
24.0	2114.32764597
25.0	1343.92808035
26.0	1157.20058046
27.0	1697.55906608
28.0	682.881385033
29.0	631.098794722
30.0	809.344819018
31.0	1917.34603594
32.0	961.015331198
33.0	1651.02438403
34.0	1166.61697008
35.0	2237.68072497
36.0	1952.04407066
37.0	2132.07913575
38.0	2073.14552598
39.0	2095.97203662
40.0	1490.95583218
41.0	874.607262371
42.0	1916.14132632
43.0	2123.66847224
44.0	2137.39954422
45.0	1186.73192335
46.0	1743.13858867
